origin,destination,origin_lat,origin_long,dest_lat,dest_long,dist_km,dist_mi
NYM,NYY,40.75694444,-73.84583333,40.82916667,-73.92638889,10.510953988635482,6.53260036583933
CHC,CHW,41.94833333,-87.65555556,41.83,-87.63388889,13.279736434551134,8.253409841237499
OAK,SFG,37.75166667,-122.2005556,37.77833333,-122.3894444,16.86655106515094,10.482629624083867
LAA,LAD,33.80027778,-117.8827778,34.07361111,-118.24,44.83044803800999,27.862304560602855
BAL,WAS,39.28388889,-76.62166667,38.87277778,-77.0075,56.558907572228634,35.15158954147211
CHC,MIL,41.94833333,-87.65555556,43.02833333,-87.97111111,122.84606095427947,76.34932315368519
CHW,MIL,41.83,-87.63388889,43.02833333,-87.97111111,136.09231717683875,84.58192490791718
LAA,SDP,33.80027778,-117.8827778,32.70729983,-117.1565998,139.03128328171272,86.40850421486185
BAL,PHI,39.28388889,-76.62166667,39.90583333,-75.16638889,142.58442791775602,88.6167979600721
NYM,PHI,40.75694444,-73.84583333,39.90583333,-75.16638889,146.57974244489438,91.09990207886537
CLE,DET,41.49583333,-81.68527778,42.33916667,-83.04861111,146.68749533912236,91.16687093792565
NYY,PHI,40.82916667,-73.92638889,39.90583333,-75.16638889,146.88871610870638,91.291930459109
LAD,SDP,34.07361111,-118.24,32.70729983,-117.1565998,182.20242532008177,113.23954339346288
CLE,PIT,41.49583333,-81.68527778,40.44694444,-80.00583333,182.9791695097132,113.72229304519153
PHI,WAS,39.90583333,-75.16638889,38.87277778,-77.0075,195.5144107958806,121.51299614411472
BAL,NYY,39.28388889,-76.62166667,40.82916667,-73.92638889,286.58732536374555,178.11518046224086
BAL,NYM,39.28388889,-76.62166667,40.75694444,-73.84583333,287.55606215679654,178.71725429260195
BOS,NYM,42.34638889,-71.0975,40.75694444,-73.84583333,289.004855147191,179.61768498893164
BOS,NYY,42.34638889,-71.0975,40.82916667,-73.92638889,289.4798107738708,179.9128718296276
CLE,TOR,41.49583333,-81.68527778,43.64138889,-79.38916667,303.73876164704336,188.77486740027555
PIT,WAS,40.44694444,-80.00583333,38.87277778,-77.0075,310.64073001714115,193.0644686246993
BAL,PIT,39.28388889,-76.62166667,40.44694444,-80.00583333,316.43328087848187,196.664562385632
MIA,TBR,25.77805556,-80.21972222,27.76833333,-82.65333333,327.61837233699674,203.61614191236592
DET,PIT,42.33916667,-83.04861111,40.44694444,-80.00583333,329.6503388340926,204.87901729900102
DET,TOR,42.33916667,-83.04861111,43.64138889,-79.38916667,330.95473671485837,205.6897058513725
NYY,WAS,40.82916667,-73.92638889,38.87277778,-77.0075,341.2868267971492,212.1111415768485
NYM,WAS,40.75694444,-73.84583333,38.87277778,-77.0075,341.7430126833094,212.39466294798598
CIN,CLE,39.0975,-84.50666667,41.49583333,-81.68527778,358.24975225374527,222.65366827454648
PIT,TOR,40.44694444,-80.00583333,43.64138889,-79.38916667,358.8343115645599,223.0169742477066
HOU,TEX,29.75694444,-95.35555556,32.75138889,-97.08277778,371.2284001473259,230.71995037124046
KCR,STL,39.05138889,-94.48055556,38.6225,-90.19305556,374.3686915282218,232.67165415054183
CIN,DET,39.0975,-84.50666667,42.33916667,-83.04861111,380.8091940481206,236.6744524848481
CHC,DET,41.94833333,-87.65555556,42.33916667,-83.04861111,382.25855575340063,237.57523663977665
CHW,DET,41.83,-87.63388889,42.33916667,-83.04861111,382.5585139742802,237.76166188581738
CHW,CIN,41.83,-87.63388889,39.0975,-84.50666667,402.81650656283284,250.3520861173604
DET,MIL,42.33916667,-83.04861111,43.02833333,-87.97111111,409.53395792683085,254.52700927708568
CIN,PIT,39.0975,-84.50666667,40.44694444,-80.00583333,412.8256090486487,256.57278374682954
CHC,CIN,41.94833333,-87.65555556,39.0975,-84.50666667,413.8522896320015,257.21086987694315
PHI,PIT,39.90583333,-75.16638889,40.44694444,-80.00583333,415.48241798263535,258.22400123221587
CHW,STL,41.83,-87.63388889,38.6225,-90.19305556,417.57320983751254,259.52343681635335
CHC,STL,41.94833333,-87.65555556,38.6225,-90.19305556,427.8401787828229,265.9043994921211
BOS,PHI,42.34638889,-71.0975,39.90583333,-75.16638889,435.563888144526,270.7047160624773
MIL,MIN,43.02833333,-87.97111111,44.98166667,-93.27833333,476.68095016410115,296.25913621137425
ARI,SDP,33.44527778,-112.0669444,32.70729983,-117.1565998,481.22380188140335,299.0825369057821
CLE,WAS,41.49583333,-81.68527778,38.87277778,-77.0075,492.8050366841514,306.2803211212874
BAL,CLE,39.28388889,-76.62166667,41.49583333,-81.68527778,494.24886990628266,307.17766930160514
CIN,STL,39.0975,-84.50666667,38.6225,-90.19305556,495.0999748162141,307.7066344414009
CHW,CLE,41.83,-87.63388889,41.49583333,-81.68527778,495.4473804359932,307.9225484375346
CHC,CLE,41.94833333,-87.65555556,41.49583333,-81.68527778,497.9413660509249,309.47257057235856
NYY,PIT,40.82916667,-73.92638889,40.44694444,-80.00583333,514.6304739721943,319.84491856568945
NYM,PIT,40.75694444,-73.84583333,40.44694444,-80.00583333,521.0891057232675,323.8589842904086
MIL,STL,43.02833333,-87.97111111,38.6225,-90.19305556,524.3128202211584,325.86253587393315
CIN,MIL,39.0975,-84.50666667,43.02833333,-87.97111111,524.6835842334905,326.0929672054012
BAL,TOR,39.28388889,-76.62166667,43.64138889,-79.38916667,536.52785309771,333.4542281527098
ARI,LAA,33.44527778,-112.0669444,33.80027778,-117.8827778,539.8726249681085,335.5330173822924
LAD,OAK,34.07361111,-118.24,37.75166667,-122.2005556,542.5462774832823,337.1947032214309
PHI,TOR,39.90583333,-75.16638889,43.64138889,-79.38916667,543.132210674368,337.55886306672966
CLE,MIL,41.49583333,-81.68527778,43.02833333,-87.97111111,544.4614803681507,338.3850095513677
NYY,TOR,40.82916667,-73.92638889,43.64138889,-79.38916667,547.5749097918875,340.3200185157785
LAD,SFG,34.07361111,-118.24,37.77833333,-122.3894444,556.0139747674629,345.56493149003285
NYM,TOR,40.75694444,-73.84583333,43.64138889,-79.38916667,557.8145504223841,346.68399653348916
CHC,MIN,41.94833333,-87.65555556,44.98166667,-93.27833333,565.1812505073607,351.2624303961222
TOR,WAS,43.64138889,-79.38916667,38.87277778,-77.0075,566.3195219283984,351.96987068265906
ARI,LAD,33.44527778,-112.0669444,34.07361111,-118.24,574.8379891275645,357.2641324596423
CHW,MIN,41.83,-87.63388889,44.98166667,-93.27833333,574.8554463293837,357.2749821810961
BAL,BOS,39.28388889,-76.62166667,42.34638889,-71.0975,576.0588437703033,358.0228985520841
CLE,PHI,41.49583333,-81.68527778,39.90583333,-75.16638889,577.1060381640035,358.6737340981998
LAA,OAK,33.80027778,-117.8827778,37.75166667,-122.2005556,587.025174584238,364.83851745446736
ATL,CIN,33.73527778,-84.38944444,39.0975,-84.50666667,596.3439841605272,370.63019525203674
LAA,SFG,33.80027778,-117.8827778,37.77833333,-122.3894444,600.5850609140231,373.2660415873357
BOS,WAS,42.34638889,-71.0975,38.87277778,-77.0075,630.6690574160477,391.9633669459588
BAL,DET,39.28388889,-76.62166667,42.33916667,-83.04861111,638.4523389872238,396.8007078851609
DET,WAS,42.33916667,-83.04861111,38.87277778,-77.0075,638.9828671134252,397.13043325880994
CIN,WAS,39.0975,-84.50666667,38.87277778,-77.0075,648.4713353709346,403.0275546121409
CLE,NYY,41.49583333,-81.68527778,40.82916667,-73.92638889,653.5078353854854,406.1577597175173
CHW,KCR,41.83,-87.63388889,39.05138889,-94.48055556,656.3616208389876,407.9313989055237
CHW,PIT,41.83,-87.63388889,40.44694444,-80.00583333,656.801772575979,408.20495498817843
CHC,KCR,41.94833333,-87.65555556,39.05138889,-94.48055556,660.598757163248,410.56479624813426
CHC,PIT,41.94833333,-87.65555556,40.44694444,-80.00583333,661.1917089061409,410.93331815173457
CIN,TOR,39.0975,-84.50666667,43.64138889,-79.38916667,661.2718144950705,410.983104098863
CLE,NYM,41.49583333,-81.68527778,40.75694444,-73.84583333,661.5074280668358,411.1295388855412
KCR,MIN,39.05138889,-94.48055556,44.98166667,-93.27833333,666.8315089355165,414.4384766535217
BAL,CIN,39.28388889,-76.62166667,39.0975,-84.50666667,679.6404573908462,422.39928986379505
ATL,TBR,33.73527778,-84.38944444,27.76833333,-82.65333333,683.8830220904493,425.0360609636105
BOS,TOR,42.34638889,-71.0975,43.64138889,-79.38916667,689.2527185945661,428.37334903329156
MIL,TOR,43.02833333,-87.97111111,43.64138889,-79.38916667,697.1153778434742,433.2600235198721
CHC,TOR,41.94833333,-87.65555556,43.64138889,-79.38916667,699.9217191356322,435.00417596993924
KCR,MIL,39.05138889,-94.48055556,43.02833333,-87.97111111,702.1942740471217,436.4165780280433
CHW,TOR,41.83,-87.63388889,43.64138889,-79.38916667,702.4877712678455,436.5989877363862
DET,PHI,42.33916667,-83.04861111,39.90583333,-75.16638889,713.175929284244,443.24172112134494
MIL,PIT,43.02833333,-87.97111111,40.44694444,-80.00583333,720.1589591017672,447.5817023628137
OAK,SDP,37.75166667,-122.2005556,32.70729983,-117.1565998,723.9652783018627,449.94734512235095
DET,STL,42.33916667,-83.04861111,38.6225,-90.19305556,731.6536227988167,454.7256822863995
SDP,SFG,32.70729983,-117.1565998,37.77833333,-122.3894444,737.1325011125133,458.1308272918044
KCR,TEX,39.05138889,-94.48055556,32.75138889,-97.08277778,738.5999978239224,459.04288242630355
MIN,STL,44.98166667,-93.27833333,38.6225,-90.19305556,751.7765747501991,467.23217821640714
ATL,STL,33.73527778,-84.38944444,38.6225,-90.19305556,752.4266041819233,467.6361741341972
BOS,PIT,42.34638889,-71.0975,40.44694444,-80.00583333,772.0787610813659,479.85006903751764
DET,NYY,42.33916667,-83.04861111,40.82916667,-73.92638889,776.6506957635496,482.69154491208803
DET,NYM,42.33916667,-83.04861111,40.75694444,-73.84583333,785.3548616807458,488.10121919250827
CLE,STL,41.49583333,-81.68527778,38.6225,-90.19305556,790.9551179765834,491.5818011041538
CIN,PHI,39.0975,-84.50666667,39.90583333,-75.16638889,806.030934741151,500.9514821262592
ATL,PIT,33.73527778,-84.38944444,40.44694444,-80.00583333,841.2193941474018,522.821251800747
CIN,KCR,39.0975,-84.50666667,39.05138889,-94.48055556,860.5654920204976,534.8449297827829
DET,MIN,42.33916667,-83.04861111,44.98166667,-93.27833333,873.0503704497478,542.6043321626773
ATL,WAS,33.73527778,-84.38944444,38.87277778,-77.0075,873.4664853701993,542.8629492667491
BOS,CLE,42.34638889,-71.0975,41.49583333,-81.68527778,880.5029166268653,547.236119718375
ATL,CLE,33.73527778,-84.38944444,41.49583333,-81.68527778,895.0652119306128,556.2866450780689
PIT,STL,40.44694444,-80.00583333,38.6225,-90.19305556,896.3150343642376,557.0634147695697
STL,TEX,38.6225,-90.19305556,32.75138889,-97.08277778,901.3091270017203,560.1672635187821
COL,KCR,39.75611111,-104.9941667,39.05138889,-94.48055556,906.1891330777383,563.20020700916
CIN,NYY,39.0975,-84.50666667,40.82916667,-73.92638889,921.4220614830967,572.6675335507127
CIN,NYM,39.0975,-84.50666667,40.75694444,-73.84583333,926.9708331401964,576.1161175513962
ATL,BAL,33.73527778,-84.38944444,39.28388889,-76.62166667,928.0979354506741,576.8166161905992
ARI,COL,33.44527778,-112.0669444,39.75611111,-104.9941667,943.2990757269646,586.2641862815193
ATL,CHW,33.73527778,-84.38944444,41.83,-87.63388889,943.9682014290588,586.680050608489
ATL,CHC,33.73527778,-84.38944444,41.94833333,-87.65555556,957.0143418280119,594.7882795699265
CHW,WAS,41.83,-87.63388889,38.87277778,-77.0075,957.8374675401566,595.2998555252682
CHC,WAS,41.94833333,-87.65555556,38.87277778,-77.0075,963.3805033807744,598.7448746928368
ATL,DET,33.73527778,-84.38944444,42.33916667,-83.04861111,963.8501966430497,599.0367909527965
BAL,CHW,39.28388889,-76.62166667,41.83,-87.63388889,971.6387128913289,603.8773852649651
ATL,MIA,33.73527778,-84.38944444,25.77805556,-80.21972222,971.7821498919856,603.9665319403266
CIN,MIN,39.0975,-84.50666667,44.98166667,-93.27833333,975.0811039792915,606.0168452326236
BAL,CHC,39.28388889,-76.62166667,41.94833333,-87.65555556,976.4850380821637,606.8893959491384
BOS,DET,42.34638889,-71.0975,42.33916667,-83.04861111,981.4206547967697,609.9569016760532
CLE,MIN,41.49583333,-81.68527778,44.98166667,-93.27833333,1014.768881954154,630.6829595737439
MIL,WAS,43.02833333,-87.97111111,38.87277778,-77.0075,1029.0673656971137,639.5695249826686
DET,KCR,42.33916667,-83.04861111,39.05138889,-94.48055556,1029.7612930946668,640.0008036635593
ARI,OAK,33.44527778,-112.0669444,37.75166667,-122.2005556,1032.9651606622185,641.9920202997008
BAL,MIL,39.28388889,-76.62166667,43.02833333,-87.97111111,1036.2770818644774,644.0503927063253
HOU,KCR,29.75694444,-95.35555556,39.05138889,-94.48055556,1036.5916123571467,644.2458746781521
ARI,SFG,33.44527778,-112.0669444,37.77833333,-122.3894444,1049.3111145339049,652.1510966649502
COL,TEX,39.75611111,-104.9941667,32.75138889,-97.08277778,1052.6149293426074,654.2044309152315
STL,TOR,38.6225,-90.19305556,43.64138889,-79.38916667,1061.798546272051,659.9120859366383
ATL,PHI,33.73527778,-84.38944444,39.90583333,-75.16638889,1068.882117686646,664.3145541868528
CHW,PHI,41.83,-87.63388889,39.90583333,-75.16638889,1068.9486265882772,664.3558897378975
CHC,PHI,41.94833333,-87.65555556,39.90583333,-75.16638889,1072.496481167471,666.5608956914052
ATL,KCR,33.73527778,-84.38944444,39.05138889,-94.48055556,1078.4127824755246,670.2379008548942
ATL,MIL,33.73527778,-84.38944444,43.02833333,-87.97111111,1079.1799590636465,670.7147042036336
SEA,SFG,47.59138889,-122.3325,37.77833333,-122.3894444,1091.1718342136573,678.1677030538578
HOU,STL,29.75694444,-95.35555556,38.6225,-90.19305556,1093.6910727537474,679.7334199836839
OAK,SEA,37.75166667,-122.2005556,47.59138889,-122.3325,1094.1799016427003,680.0372291129274
MIN,TOR,44.98166667,-93.27833333,43.64138889,-79.38916667,1113.697661830155,692.1675959168149
CLE,KCR,41.49583333,-81.68527778,39.05138889,-94.48055556,1117.8689684602082,694.7600798385383
MIL,PHI,43.02833333,-87.97111111,39.90583333,-75.16638889,1120.6457327037845,696.4858500334273
COL,MIN,39.75611111,-104.9941667,44.98166667,-93.27833333,1122.6326025606772,697.7206976759958
ATL,HOU,33.73527778,-84.38944444,29.75694444,-95.35555556,1126.544221323748,700.1517845393089
STL,WAS,38.6225,-90.19305556,38.87277778,-77.0075,1142.8234386532513,710.2693838739908
CHW,NYY,41.83,-87.63388889,40.82916667,-73.92638889,1148.7217685577423,713.9352197375651
CHC,NYY,41.94833333,-87.65555556,40.82916667,-73.92638889,1150.8144184379596,715.2358100919575
CHW,NYM,41.83,-87.63388889,40.75694444,-73.84583333,1156.8247465562165,718.971253297835
CHC,NYM,41.94833333,-87.65555556,40.75694444,-73.84583333,1158.9933392221485,720.3190424003409
BAL,STL,39.28388889,-76.62166667,38.6225,-90.19305556,1174.7400344194075,730.1056770785627
ATL,TOR,33.73527778,-84.38944444,43.64138889,-79.38916667,1183.3227514003977,735.4398703545045
ATL,TEX,33.73527778,-84.38944444,32.75138889,-97.08277778,1184.7540331744917,736.3294177591621
BOS,CIN,42.34638889,-71.0975,39.0975,-84.50666667,1184.856954120129,736.3933835426533
MIL,NYY,43.02833333,-87.97111111,40.82916667,-73.92638889,1185.8101988567878,736.9858289973821
MIN,PIT,44.98166667,-93.27833333,40.44694444,-80.00583333,1193.938778474993,742.0377740677395
MIL,NYM,43.02833333,-87.97111111,40.75694444,-73.84583333,1194.6129230242843,742.4567576285173
ATL,NYY,33.73527778,-84.38944444,40.82916667,-73.92638889,1214.603814111469,754.8811771979298
ATL,NYM,33.73527778,-84.38944444,40.75694444,-73.84583333,1215.2074293675648,755.2563265180639
KCR,PIT,39.05138889,-94.48055556,40.44694444,-80.00583333,1245.7365372734082,774.2302904123109
HOU,TBR,29.75694444,-95.35555556,27.76833333,-82.65333333,1257.0524681569716,781.2631871702745
CIN,TBR,39.0975,-84.50666667,27.76833333,-82.65333333,1271.3432078614096,790.1449396279737
COL,STL,39.75611111,-104.9941667,38.6225,-90.19305556,1280.3406615328595,795.7368934324795
PHI,STL,39.90583333,-75.16638889,38.6225,-90.19305556,1299.946809568422,807.9221936410329
CHW,TEX,41.83,-87.63388889,32.75138889,-97.08277778,1308.8874993696895,813.4788684709071
CHC,TEX,41.94833333,-87.65555556,32.75138889,-97.08277778,1317.400557837476,818.7697686994879
COL,LAA,39.75611111,-104.9941667,33.80027778,-117.8827778,1323.279931625434,822.4238232600585
CIN,TEX,39.0975,-84.50666667,32.75138889,-97.08277778,1332.3476771996982,828.0594637661269
COL,LAD,39.75611111,-104.9941667,34.07361111,-118.24,1334.4290530616288,829.3530472726096
TBR,WAS,27.76833333,-82.65333333,38.87277778,-77.0075,1340.8087038232136,833.3180259932963
COL,SDP,39.75611111,-104.9941667,32.70729983,-117.1565998,1341.2256494604057,833.5771593911783
KCR,TOR,39.05138889,-94.48055556,43.64138889,-79.38916667,1356.732336559931,843.2146280670795
BOS,CHW,42.34638889,-71.0975,41.83,-87.63388889,1363.6283166195335,847.500507532339
BOS,CHC,42.34638889,-71.0975,41.94833333,-87.65555556,1363.645314175324,847.5110715819292
BOS,MIL,42.34638889,-71.0975,43.02833333,-87.97111111,1378.9283763613223,857.0095564706788
MIL,TEX,43.02833333,-87.97111111,32.75138889,-97.08277778,1392.7874645787451,865.6230357854228
STL,TBR,38.6225,-90.19305556,27.76833333,-82.65333333,1394.7339221539282,866.8327670316521
BAL,TBR,39.28388889,-76.62166667,27.76833333,-82.65333333,1396.30935041055,867.8119020575202
ARI,TEX,33.44527778,-112.0669444,32.75138889,-97.08277778,1396.7244059389827,868.0698607451726
MIN,TEX,44.98166667,-93.27833333,32.75138889,-97.08277778,1398.8233826845394,869.3743832719325
NYY,STL,40.82916667,-73.92638889,38.6225,-90.19305556,1410.4717296975728,876.6138779972484
COL,HOU,39.75611111,-104.9941667,29.75694444,-95.35555556,1416.391513571107,880.2930475892523
NYM,STL,40.75694444,-73.84583333,38.6225,-90.19305556,1416.599175545834,880.4221103454531
PIT,TBR,40.44694444,-80.00583333,27.76833333,-82.65333333,1430.510787040379,889.0682330891107
CIN,HOU,39.0975,-84.50666667,29.75694444,-95.35555556,1436.1788120777908,892.590933547415
COL,MIL,39.75611111,-104.9941667,43.02833333,-87.97111111,1463.0665838711159,909.3017923375487
ATL,MIN,33.73527778,-84.38944444,44.98166667,-93.27833333,1463.4708379054416,909.553037852978
CHC,COL,41.94833333,-87.65555556,39.75611111,-104.9941667,1475.8999746301092,917.2777965382904
CHW,COL,41.83,-87.63388889,39.75611111,-104.9941667,1476.895746556543,917.8966728132647
MIA,WAS,25.77805556,-80.21972222,38.87277778,-77.0075,1486.7240170175244,924.0049826087784
TBR,TEX,27.76833333,-82.65333333,32.75138889,-97.08277778,1490.8416999794265,926.5641392041184
MIN,WAS,44.98166667,-93.27833333,38.87277778,-77.0075,1503.9837299404921,934.7319639157813
ATL,BOS,33.73527778,-84.38944444,42.34638889,-71.0975,1504.0715666406381,934.7865547797627
COL,OAK,39.75611111,-104.9941667,37.75166667,-122.2005556,1506.1935709683826,936.1053890418785
KCR,WAS,39.05138889,-94.48055556,38.87277778,-77.0075,1508.5396609861994,937.5634934656305
BAL,MIN,39.28388889,-76.62166667,44.98166667,-93.27833333,1508.8455027664775,937.7535753676057
CHW,HOU,41.83,-87.63388889,29.75694444,-95.35555556,1510.7558941176771,938.9408913099298
PHI,TBR,39.90583333,-75.16638889,27.76833333,-82.65333333,1515.0089012058645,941.5841523964353
CHC,HOU,41.94833333,-87.65555556,29.75694444,-95.35555556,1521.308857449157,945.4996006520553
COL,SFG,39.75611111,-104.9941667,37.77833333,-122.3894444,1521.6139240924163,945.689200803242
CLE,TBR,41.49583333,-81.68527778,27.76833333,-82.65333333,1528.9658843023449,950.2584737739869
CIN,MIA,39.0975,-84.50666667,25.77805556,-80.21972222,1534.189853857956,953.5051919564673
BAL,KCR,39.28388889,-76.62166667,39.05138889,-94.48055556,1537.3219063413496,955.4517752276878
BAL,MIA,39.28388889,-76.62166667,25.77805556,-80.21972222,1538.8109351016142,956.3772126175352
LAD,SEA,34.07361111,-118.24,47.59138889,-122.3325,1541.4527561299428,958.0191150590074
HOU,MIA,29.75694444,-95.35555556,25.77805556,-80.21972222,1552.1187240213783,964.6480571916584
LAA,SEA,33.80027778,-117.8827778,47.59138889,-122.3325,1578.0147785399688,980.7425596892286
MIN,PHI,44.98166667,-93.27833333,39.90583333,-75.16638889,1585.4982549301938,985.3935704973237
HOU,MIL,29.75694444,-95.35555556,43.02833333,-87.97111111,1615.3140723087838,1003.9242214473486
DET,TBR,42.33916667,-83.04861111,27.76833333,-82.65333333,1620.5968587157274,1007.2074945405391
CHW,TBR,41.83,-87.63388889,27.76833333,-82.65333333,1627.5813022009563,1011.5483543821979
DET,TEX,42.33916667,-83.04861111,32.75138889,-97.08277778,1629.3342281948705,1012.6378049688443
MIA,PIT,25.77805556,-80.21972222,40.44694444,-80.00583333,1631.226149303813,1013.8136415809901
ARI,HOU,33.44527778,-112.0669444,29.75694444,-95.35555556,1632.887264757608,1014.8460315460584
MIN,NYY,44.98166667,-93.27833333,40.82916667,-73.92638889,1637.873738501258,1017.9451451219752
COL,SEA,39.75611111,-104.9941667,47.59138889,-122.3325,1638.6314821727578,1018.4160858749271
