team,nearest_airport,one_way_cost,airline
ARI,PHX,80,DL
ATL,ATL,179,DL
BAL,BWI,104,DL
BOS,BOS,124,DL
CHC,ORD,85,DL
CHW,ORD,85,DL
CIN,CVG,139,DL
CLE,CLE,129,DL
COL,DEN,99,DL
DET,DTW,259,DL
HOU,IAH,129,AK
KCR,MCI,129,DL
LAA,LAX,79,DL
LAD,LAX,79,DL
MIA,MIA,119,DL
MIL,MKE,116,DL
MIN,MSP,189,DL
NYM,LGA,149,DL
NYY,LGA,149,DL
OAK,SFO,147,DL
PHI,PHL,199,AK
PIT,PIT,129,DL
SDP,SAN,79,DL
SEA,SEA,0,DL
SFG,SFO,69,DL
STL,STL,95,DL
TBR,TPA,229,DL
TEX,DFW,90,DL
TOR,YYZ,129,AK
WAS,DCA,129,DL